Taxa,Year,FM,FO,Total,Feeds_used,Prod
FW fishes,2002,45,5,50,81,107
FW fishes,2003,45,5,50,269,107
FW fishes,2004,45,5,50,341,107
FW fishes,2005,45,5,50,426,107
FW fishes,2006,40,5,45,512,107
FW fishes,2007,40,5,45,639,107
FW fishes,2010,35,4,39,996,107
FW fishes,2015,25,3,28,1937,107
FW fishes,2020,15,2,17,3061,107
Eels,1995,65,8,73,338,188
Eels,1996,65,8,73,400,188
Eels,1997,64,8,72,400,188
Eels,1998,63,6,69,370,188
Eels,1999,63,6,69,359,188
Eels,2000,62,6,68,351,188
Eels,2001,62,6,68,329,188
Eels,2002,61,5,66,332,188
Eels,2003,61,5,66,332,188
Eels,2004,60,5,65,337,188
Eels,2005,60,5,65,327,188
Eels,2006,55,5,60,363,188
Eels,2007,50,5,55,415,188
Eels,2010,45,4,49,416,188
Eels,2015,35,3,38,351,188
Eels,2020,25,2,27,354,188
Milkfish,1995,15,3,18,220,366
Milkfish,1996,14,3,17,223,366
Milkfish,1997,13,3,16,223,366
Milkfish,1998,12,2,14,243,366
Milkfish,1999,11,2,13,292,366
Milkfish,2000,10,2,12,318,366
Milkfish,2001,9,1,10,347,366
Milkfish,2002,8,1,9,380,366
Milkfish,2003,7,1,8,480,366
Milkfish,2004,6,1,7,436,366
Milkfish,2005,5,1,6,464,366
Milkfish,2006,3,1,4,468,366
Milkfish,2007,3,1,4,547,366
Milkfish,2010,3,1,4,728,366
Milkfish,2015,2,1,3,1069,366
Milkfish,2020,2,1,3,1399,366
FW crustaceans,1995,25,2,27,91,104
FW crustaceans,1996,25,2,27,131,104
FW crustaceans,1997,24,2,26,179,104
FW crustaceans,1998,24,2,26,218,104
FW crustaceans,1999,23,2,25,284,104
FW crustaceans,2000,23,2,25,412,104
FW crustaceans,2001,22,2,24,513,104
FW crustaceans,2002,22,2,24,557,104
FW crustaceans,2003,21,2,23,776,104
FW crustaceans,2004,21,2,23,819,104
FW crustaceans,2005,20,1.5,21.5,905,104
FW crustaceans,2006,15,1.5,16.5,922,104
FW crustaceans,2007,14,1.5,15.5,1255,104
FW crustaceans,2010,13,1.5,14.5,1692,104
FW crustaceans,2015,10,1,11,2210,104
FW crustaceans,2020,5,0.5,5.5,2915,104
