3Alpha_Code,Taxonomic_Code,Scientific_Name1,Name_en,Name_fr,Name_es,Name_ar,Name_cn,Name_ru,Scientific_Name,Author,Family_Group,Order_Group,Major_Group,Yearbook_Group,ISSCAAP_Group,CPC_Group,CPCdiv_Group
SPY,10803XXXXX,Sphyrnidae,"Hammerhead sharks, etc. nei","Requins marteau, etc. nca","Cornudas, etc. nep",,,,Sphyrnidae,,SPHYRNIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CTU,1080400701,Mustelus antarcticus,Gummy shark,Ã‰missole gommÃ©e,Musola austral,Ù‚ÙêØ±Ø´ Ù…ÙèØµÙ_Ù…Ù‘Ù_Øº,åç—æ_Åæ˜Ÿé_¨,,Mustelus antarcticus,GÃ_nther 1870,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CTN,1080400702,Mustelus californicus,Grey smooth-hound,Ã‰missole grise,Musola gris de California,ÙƒÙ„Ø¨ Ø§Ù„Ø¨Ø_Ø± Ø£Ù…Ù„Ø_ Ø±Ù…Ø§Ø¯Ù_,å_ å·_æ˜Ÿé_¨,,Mustelus californicus,Gill 1864,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CTI,1080400703,Mustelus canis,Dusky smooth-hound,Ã‰missole douce,Boca dulce,,ç__æ˜Ÿé_¨,,Mustelus canis,(Mitchill 1815),TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CTD,1080400704,Mustelus dorsalis,Sharptooth smooth-hound,Ã‰missole blanche,Musola blanca,ÙƒÙ„Ø¨ Ø§Ù„Ø¨Ø_Ø± Ø§Ù„Ø£Ù…Ù„Ø_ Ø°Ùˆ Ø£Ø_Ù†Ø§Ù† Ø_Ø§Ø¯Ù‘Ù_Ø©,å°–é_¿æ˜Ÿé_¨,,Mustelus dorsalis,Gill 1864,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CTF,1080400705,Mustelus fasciatus,Striped smooth-hound,Ã‰missole rayÃ©e,Mustola listada,ÙƒÙ„Ø¨ Ø§Ù„Ø¨Ø_Ø± Ø§Ù„Ø£Ù…Ù„Ø_ Ù…Ø®Ù_Ø·Ù‘Ù_Ø·,æ¨ªå¸_æ˜Ÿé_¨,,Mustelus fasciatus,(Garman 1913),TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CTE,1080400706,Mustelus griseus,Spotless smooth-hound,Ã‰missole cÃ´tiÃ¨re,Musola gris,ÙƒÙ„Ø¨ Ø§Ù„Ø¨Ø_Ø± Ø§Ù„Ø£Ù…Ù„Ø_ Ù†Ø¸Ù_ÙÅ,çÅ°æ˜Ÿé_¨,,Mustelus griseus,Pietschmann 1908,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CTK,1080400707,Mustelus henlei,Brown smooth-hound,Ã‰missole brune,Musola parda,ÙƒÙ„Ø¨ Ø§Ù„Ø¨Ø_Ø± Ø§Ù„Ø£Ù…Ù„Ø_ Ø§Ù„Ø¨Ù†Ù_,è_êæ˜Ÿé_¨,,Mustelus henlei,(Gill 1863),TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CTJ,1080400708,Mustelus higmani,Smalleye smooth-hound,Ã‰missole ti-yeux,Musola amarilla,,,,Mustelus higmani,Springer & Lowe 1963,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MTL,1080400709,Mustelus lenticulatus,Spotted estuary smooth-hound,Ã‰missole grivelÃ©e,Musola manchada,ÙƒÙ„Ø¨ Ø§Ù„Ø¨Ø_Ø± Ø§Ù„Ø£Ù…Ù„Ø_ Ù…ÙèØ¨Ù‚Ù‘Ù_Ø_ Ù…ØµØ¨ Ø§Ù„Ù†Ù‡Ø±,æ–‘ç‚_æ˜Ÿé_¨,_ê_ºÑƒ_»_° _ºÑƒ__ÑŒÑè _________·_µ_»_°___´ÑÅ_º_°Ñè,Mustelus lenticulatus,Phillipps 1932,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MUU,1080400710,Mustelus lunulatus,Sicklefin smooth-hound,Ã‰missole mamon,Musola segadora,ÙƒÙ„Ø¨ Ø§Ù„Ø¨Ø_Ø± Ø§Ù„Ø£Ù…Ù„Ø_ Ø°Ùˆ Ø§Ù„Ø£Ø¬Ù†ÙêØ_Ø© Ø§Ù„Ù…Ù†Ø¬ÙêÙ„ÙêÙ_Ø©,å·´æ‹¿é©¬æ˜Ÿé_¨,,Mustelus lunulatus,Jordan & Gilbert 1882,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MTZ,1080400711,Mustelus manazo,Starspotted smooth-hound,Ã‰missole Ã©toilÃ©e,Musola celestial,ÙƒÙ„Ø¨ Ø§Ù„Ø¨Ø_Ø± Ø§Ù„Ø£Ù…Ù„Ø_ Ù…ÙèÙƒÙˆÙƒØ¨,ç™_æ–‘æ˜Ÿé_¨,,Mustelus manazo,Bleeker 1854,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SDP,1080400712,Mustelus schmitti,Narrownose smooth-hound,Ã‰missole gatuso,Gatuso,,,,Mustelus schmitti,Springer 1939,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SMD,1080400713,Mustelus mustelus,Smooth-hound,Ã‰missole lisse,Musola,ÙƒÙ„Ø¨ Ø§Ù„Ø¨Ø_Ø± Ø§Ù„Ø£Ù…Ù„Ø_ Ø§Ù„Ù†Ù‘Ù_Ø§Ø_Ù…,æ˜Ÿé_¨,,Mustelus mustelus,(Linnaeus 1758),TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MTR,1080400714,Mustelus norrisi,Narrowfin smooth-hound,Ã‰missole veuve,Musola viuda,ÙƒÙ„Ø¨ Ø§Ù„Ø¨Ø_Ø± Ø§Ù„Ø£Ù…Ù„Ø_ Ø£Ù_Ø±Ù’Ù…Ù_Ù„,è¯ºæ°èæ˜Ÿé_¨,,Mustelus norrisi,Springer 1939,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SDS,1080400715,Mustelus asterias,Starry smooth-hound,Ã‰missole tachetÃ©e,Musola dentuda,ÙƒÙ„Ø¨ Ø§Ù„Ø¨Ø_Ø± Ø§Ù„Ø£Ù…Ù„Ø_ Ù…ÙèØ¨Ù_Ù‚Ù‘Ù_Ø´,å®_é_»æ˜Ÿé_¨,,Mustelus asterias,Cloquet 1821,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MTE,1080400716,Mustelus mento,Speckled smooth-hound,Ã‰missole fine,Musola fina,ÙƒÙ„Ø¨ Ø§Ù„Ø¨Ø_Ø± Ø§Ù„Ø£Ù…Ù„Ø_ Ø§Ù„Ø±Ù‘Ù_Ù‚Ù_Ù‚,åç—ç__æ˜Ÿé_¨,,Mustelus mento,Cope 1877,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MTM,1080400717,Mustelus mosis,Arabian smooth-hound,Ã‰missole d'Arabie,Musola arÃ¡biga,ÙƒÙ„Ø¨ Ø§Ù„Ø¨Ø_Ø± Ø£Ù…Ù„Ø_ Ø_Ø±Ø¨Ù_,é˜¿æ‹‰ä_¯æ˜Ÿé_¨,,Mustelus mosis,Klunzinger 1871,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MUP,1080400718,Mustelus palumbes,Whitespotted smooth-hound,Ã‰missole palombe,Musola paloma,ÙƒÙ„Ø¨ Ø§Ù„Ø¨Ø_Ø± Ø§Ù„Ø£Ù…Ù„Ø_ Ù…ÙèØ¨Ù‚Ù‘Ù_Ø_ Ø¨Ø§Ù„Ø£Ø¨Ù_Ø¶,åç—éù_æ˜Ÿé_¨,,Mustelus palumbes,Smith 1957,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MPT,1080400720,Mustelus punctulatus,Blackspotted smooth-hound,Ã‰missole pointilÃ©e,Musola pimienta,ÙƒÙ„Ø¨ Ø§Ù„Ø¨Ø_Ø± Ø§Ù„Ø£Ù…Ù„Ø_ Ø§Ù„Ù…ÙèÙ†Ù_Ù‚Ù‘Ù_Ø· Ø¨Ø§Ù„Ø£Ø_ÙˆØ¯,é»‘æ–‘æ˜Ÿé_¨,,Mustelus punctulatus,Risso 1826,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MUW,1080400721,Mustelus whitneyi,Humpback smooth-hound,Ã‰missole piruche,Musola prieta,ÙƒÙ„Ø¨ Ø§Ù„Ø¨Ø_Ø± Ø£Ù…Ù„Ø_ Ù…ÙèÙ‚ÙˆÙ‘Ù_Ø_ Ø§Ù„Ø¸Ù‘Ù_Ù‡Ø±,æƒ æ°èæ˜Ÿé_¨,,Mustelus whitneyi,Chirichigno F. 1973,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SDV,10804007XX,Mustelus spp,Smooth-hounds nei,Ã‰missoles nca,Tollos nep,,,,Mustelus spp,,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
GAG,1080401103,Galeorhinus galeus,Tope shark,Requin-hÃ¢,CazÃ_n,,,_ê_ºÑƒ_»_° ÑÅÑƒ_¿_____°Ñè (=___°_»_µÑƒÑÅ),Galeorhinus galeus,(Linnaeus 1758),TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
TTA,1080402301,Triakis acutipinna,Sharpfin houndshark,Virli Ã©quatorien,Tollo del Ecuador,Ù‚ÙêØ±Ø´ ÙƒÙ„Ø¨ Ø°Ùˆ Ø£Ø¬Ù†ÙêØ_Ø© Ø_Ø§Ø¯Ù‘Ù_Ø©,å°–é_çç_±å”‡é_¨,,Triakis acutipinna,Kato 1968,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LES,1080402302,Triakis semifasciata,Leopard shark,Virli lÃ©opard,Tollo leopardo,,,,Triakis semifasciata,Girard 1855,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
TTM,1080402303,Triakis maculata,Spotted houndshark,Virli tachetÃ©,Tollo manchado,Ù‚ÙêØ±Ø´ ÙƒÙ„Ø¨ Ù…ÙèØ¨Ù‚Ù‘Ù_Ø_,æ–‘ç‚_ç_±å”‡é_¨,,Triakis maculata,Kner & Steindachner 1867,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
TTE,1080402304,Triakis megalopterus,Sharptooth houndshark,Virli dentu,Tollo dentudo,Ù‚Ø±Ø´ ÙƒÙ„Ø¨ Ø°Ùˆ Ø£Ø_Ù†Ø§Ù† Ø_Ø§Ø¯Ù‘Ù_Ø© ,å_§é_çç_±å”‡é_¨,,Triakis megalopterus,(Smith 1839),TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
TTY,1080402305,Triakis scyllium,Banded houndshark,Virli coro,Tollo rayado,Ù‚ÙêØ±Ø´ ÙƒÙ„Ø¨ Ù…ÙèØ®Ø·Ù‘Ù_Ø·,ç_±å”‡é_¨,,Triakis scyllium,MÃ_ller & Henle 1839,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
TIK,1080402401,Iago garricki,Longnose houndshark,Requin-hÃ¢ long nez,CazÃ_n picudo,Ù‚ÙêØ±Ø´ ÙƒÙ„Ø¨ Ø·ÙˆÙ_Ù„ Ø§Ù„Ø£Ù†ÙÅ,é•¿åê»å‰çé_çç_±å”‡é_¨,,Iago garricki,Fourmanoir & Rivaton 1979,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
TIO,1080402402,Iago omanensis,Bigeye houndshark,Requin-hÃ¢ Ã  gros yeux,CazÃ_n ojigrande,Ù‚ÙêØ±Ø´ ÙƒÙ„Ø¨ ÙƒØ¨Ù_Ø± Ø§Ù„Ø_Ù_Ù†Ù_Ù†,å_§çœ_å‰çé_çç_±å”‡é_¨,,Iago omanensis,(Norman 1939),TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
TGF,1080402501,Gogolia filewoodi,Sailback houndshark,Requin-hÃ¢ voile,CazÃ_n velero,Ù‚ÙêØ±Ø´ ÙƒÙ„Ø¨ Ù…Ø_Ø¬ÙˆØ¨ Ø§Ù„Ø¸Ù‘Ù_Ù‡Ø±,å¸†é_çé_¨,,Gogolia filewoodi,Compagno 1973,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
THH,1080402701,Hypogaleus hyugaensis,Blacktipe tope,Requin-hÃ¢ Ã©lÃ©gant,CazÃ_n elegante,Ù‚ÙêØ±Ø´ ÙƒÙ„Ø¨ Ø£Ù†Ù_Ù‚,é»‘è__ç¿…é_¨,,Hypogaleus hyugaensis,(Miyosi 1939),TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
TFM,1080402801,Furgaleus macki,Whiskery shark,Ã‰missole moustachue,CazÃ_n bigotudo,Ù‚ÙêØ±Ø´ Ù…ÙèØ´Ù_ÙˆØ±ÙêØ¨,éº_æ°èæ€’é_¨,,Furgaleus macki,(Whitley 1943),TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
THJ,1080402901,Hemitriakis japanica,Japanese topeshark,Requin-hÃ¢ dochizame,CazÃ_n japonÃ©s,Ù‚ÙêØ±Ø´ ÙƒÙ„Ø¨ Ù_Ø§Ø¨Ø§Ù†Ù_,æ—¥æœ¬åç_ç_±å”‡é_¨,,Hemitriakis japanica,(MÃ_ller & Henle 1839),TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
THL,1080402902,Hemitriakis leucoperiptera,Whitefin topeshark,Requin-hÃ¢ aile blanche,CazÃ_n de aleta blanca,Ù‚ÙêØ±Ø´ ÙƒÙ„Ø¨ Ø°Ùˆ Ø¬ÙêÙ†Ø_Ø© Ø¨Ù_Ø¶Ø§Ø¡,ç™_é_çåç_ç_±å”‡é_¨,,Hemitriakis leucoperiptera,Herre 1923,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
TSK,1080403001,Scylliogaleus quecketti,Flapnose houndshark,Virli Ã  clapet,CazÃ_n mosqueador,ÙŒÙ‚ÙêØ±Ø´ ÙƒÙ„Ø¨ Ø°ÙˆØ£Ù†ÙÅ Ù…ÙèØªÙ_Ø_Ø±Ù‘ÙêÙƒ ,é•¿ç“£é_¨,,Scylliogaleus quecketti,Boulenger 1902,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
TRK,10804XXXXX,Triakidae,"Houndsharks, smoothhounds nei","Ã‰missoles, requins-hÃ¢ nca","Cazones, tollos nep",,,,Triakidae,,TRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
PTM,1080502801,Pseudotriakis microdon,False catshark,Requin Ã  longue dorsale,MusolÃ_n de aleta larga,Ù‚ÙêØ±Ø´ Ù‚ÙêØ· Ø·ÙˆÙ_Ù„ Ø§Ù„Ø_Ù‘ÙêØ_Ù†ÙÅØ© Ø§Ù„Ø¸Ù‘Ù_Ù‡Ø±Ù_Ø©,å°èé_¿æ‹Ÿç_±å”‡é_¨,,Pseudotriakis microdon,Capello 1868,PSEUDOTRIAKIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HCM,1080600101,Chaenogaleus macrostoma,Hooktooth shark,Milandre harpon,Comadreja ganchuda,Ù‚ÙêØ±Ø´ Ø®ÙèØ·Ù‘Ø§ÙÅ,é’©é_¿é_¨,,Chaenogaleus macrostoma,(Bleeker 1852),HEMIGALEIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEE,1080600201,Hemipristis elongata,Snaggletooth shark,,,,,,Hemipristis elongata,(Klunzinger 1871),HEMIGALEIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEC,1080600301,Paragaleus leucolomatus,Whitetip weasel shark,,,,,,Paragaleus leucolomatus,Compagno & Smale 1985,HEMIGALEIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEI,1080600302,Paragaleus pectoralis,Atlantic weasel shark,Milandre jaune,TiburÃ_n comadiza,Ù‚ÙêØ±Ø´ Ø_ÙèØ±Ø_ÙˆØ¨ Ø£Ø·Ù„Ø_Ù_,å_§è¥¿æ´‹å‰¯æ_™æù¡é_¨,,Paragaleus pectoralis,(Garman 1906),HEMIGALEIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEN,1080600303,Paragaleus tengi,Straight-tooth weasel shark,Milandre belette,Comadreja coluda,Ù‚ÙêØ±Ø´ Ø_ÙèØ±Ø_ÙˆØ¨ Ù‚ÙˆÙ_Ù‘Ùè Ø§Ù„Ø£Ø_Ù†Ø§Ù†,åè°æ__å‰¯æ_™æù¡é_¨,,Paragaleus tengi,(Chen 1963),HEMIGALEIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IEI,1080600304,Paragaleus randalli,Slender weasel shark,,,,,,Paragaleus randalli,"Compagno, Krupp & Carpenter 1996",HEMIGALEIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEH,1080601801,Hemigaleus microstoma,Sicklefin weasel shark,Milandre faucille,Comadreja segadora,Ù‚ÙêØ±Ø´ Ø_ÙèØ±Ø_ÙˆØ¨ Ù…ÙêÙ†Ø¬Ù_Ù„,ç_Åé_çåç_æù¡é_¨,,Hemigaleus microstoma,Bleeker 1852,HEMIGALEIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CLL,1080702001,Leptocharias smithii,Barbeled houndshark,Ã‰missole barbue,TiburÃ_n barbudo,ÙƒÙ„Ø¨ Ø§Ù„Ø¨Ø_Ø± Ø¨ÙêÙ„ÙêØ_Ù’Ù_Ø©,ç»†é¡»é›…é_¨,,Leptocharias smithii,(MÃ_ller & Henle 1839),LEPTOCHARIIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CPE,1080800101,Ctenacis fehlmanni,Harlequin catshark,Requin chat arlequin,Tollo coludo arlequÃ_n,Ù‚ÙêØ±Ø´ Ù‚ÙêØ·Ù‘ Ù…ÙèÙ‡Ø±Ù‘ÙêØ¬,é_çæ–‘å‰çé_¨,,Ctenacis fehlmanni,(Springer 1968),PROSCYLLIIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
PEB,1080800201,Eridacnis barbouri,Cuban ribbontail catshark,Requin chat cubain,Tollo coludo cubano,Ù‚ÙêØ±Ø´ Ù‚ÙêØ·Ù‘ Ù…ÙèØ´Ø±Ù‘Ù_Ø· ÙƒÙˆØ¨Ù_,åè_å·´å…‰å”‡é_¨,,Eridacnis barbouri,(Bigelow & Schroeder 1944),PROSCYLLIIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
PEA,1080800202,Eridacnis radcliffei,Pygmy ribbontail catshark,Requin chat pygmÃ©e,Tollo coludo pigmeo,Ù‚ÙêØ±Ø´ Ù‚ÙêØ·Ù‘ Ù‚Ø_ÙêÙ…Ù_Ù‘,æ–‘é_çå…‰å”‡é_¨,,Eridacnis radcliffei,Smith 1913,PROSCYLLIIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
PED,1080800203,Eridacnis sinuans,African ribbontail catshark,Requin chat Ã  rubans,Tollo coludo africano,Ù‚ÙêØ±Ø´ Ù‚ÙêØ·Ù‘ Ù…ÙèØ´Ø±Ù‘Ù_Ø· Ø¥ÙÅØ±Ù_Ù‚Ù_,ä¸œéù_å…‰å”‡é_¨,,Eridacnis sinuans,(Smith 1957),PROSCYLLIIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CPG,1080800301,Gollum attenuatus,Slender smooth-hound,Requin chat golloum,Tollo coludo elegante,Ù‚ÙêØ±Ø´ Ù‚ÙêØ·Ù‘ Ø£Ù†Ù_Ù‚,åè_æ_—å_Ÿé_¨,,Gollum attenuatus,(Garrick 1954),PROSCYLLIIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CPY,1080800401,Proscyllium habereri,Graceful catshark,Requin chat gracile,Tollo coludo grÃ¡cil,ÙŒÙ‚ÙêØ±Ø´ Ù‚Ø·Ù‘ Ù†Ø_Ù_ÙÅ,å“ˆæ°èå_Ÿé_¨,,Proscyllium habereri,Hilgendorf 1904,PROSCYLLIIDAE,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CVX,108XXXXXXX,Carcharhiniformes,Ground sharks,,,,,,Carcharhiniformes,,,CARCHARHINIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
GSK,1090100201,Somniosus microcephalus,Greenland shark,Laimargue du Groenland,Tollo de Groenlandia,,,_ê_ºÑƒ_»_° _¿___»ÑèÑ€___°Ñè _°Ñ‚_»_°__Ñ‚_¸Ñ‡_µÑÅ_º_°Ñè,Somniosus microcephalus,(Bloch & Schneider 1801),SQUALIDAE,SQUALIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SOR,1090100202,Somniosus rostratus,Little sleeper shark,Laimargue de la MÃ©diterranÃ©e,Tollo boreal,Ù‚ÙêØ±Ø´ Ø±Ø§Ù‚ÙêØ¯ ØµØºÙ_Ø±,å°èé_ççù¡é_¨,,Somniosus rostratus,(Risso 1827),SQUALIDAE,SQUALIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
